Institution,Latitude,Longitude,Collaborators
Washington,47.6553,-122.3035,Kenya Amano; Zachary M. Jones; Steve Pfaff
Georgia,33.949,-83.3763,Margaret H. Ariotti; Micah Gell-Redman; Amanda Murdie
Texas,30.2849,-97.7341,Tiffany D. Barnes
Florida State,30.4419,-84.2985,Quintin H. Beazer; Holger L. Kern; Matthew Pietryka
Penn State,40.7982,-77.8599,Megan Biek; Ray Block; Nicholas Dietrich; Matt Golder; Sona Golder; Pete Hatemi; Jinhyuk Jang; Douglas Lemke; Michael J. Nelson; Ana Ross; Zhanna Terechshenko
Montreal,45.5045,-73.6144,André Blais; Semra Sevi
"Santiago, Chile",-33.4489,-70.6693,Mitchell Bosley
NYU,40.7295,-73.9965,Bart Bonikowski; Amy Catalinac
Purdue,40.4237,-86.9212,Jennifer Brick Murtazashvili; Liana Eustacia Reyes
"UC, San Diego",32.8801,-117.234,Daniel M. Butler; Taranamoll Kaur; Michael Tsai
Dartmouth,43.7044,-72.2887,Luca Caviezel; Rohan Chakravarty; Mia Costa; Julia Draves; Will Elliot; Emma Elsbecker; Joshua Freitag; Mikhail Gronas; Cameron Guage; Jane Hentschel; Yusaku Horiuchi; Nishi Jain; Margaret Johnston; Devontae Lacasse; Helen Ma; William W. Marx; Ben Matejka; Reilly Olinger; Eliana Ornelas; Maria Proulx; Kasey Rhee; Eleanor Schifino; Lucas Swaine; Jayanth V. Uppaluri; Benjamin A. Valentino; Nicholas Zhang
Waseda,35.7033,139.7125,Ke Cheng; Yipeng Cheng; Yuya Endo; Hoi-ki Leung; Wen Long; Viet-Hung Nguyen-Cao; Yoshikuni Ono; Margarita Solntseva; Atsushi Tago; Michiko Ueda; Yu Jin Woo; Junyao Zhang
Chicago,41.7904,-87.6,Adam Chilton
Waseda University,35.7033,139.7125,Alice Chong; Erika Kojima; Katrina Zuluaga
Rose-Hulman Institute of Technology,39.485,-87.324,Paul Christensen
Richmond,37.5794,-77.5201,Volha Chykina
Stanford,37.4275,-122.1697,Katherine Clayton; Diana M. Stanescu; Kiyoteru Tsutsui; Yao Xu
"UC, Merced",37.3637,-120.4319,Courtenay Conrad
Virginia,38.0336,-78.508,Kevin Cope
"UNC, Charlotte",35.305,-80.732,Yaoyao Dai
Oslo,59.9398,10.72,Sirianne Dahlum; Jean Lachapelle; Edvard Nergård Larsen; Milan Obaidi; Tore Wig
South Carolina,34.0007,-81.0348,David Darmofal
Michigan,42.278,-83.7382,Christian Davenport; Charles T. McClean
Harvard,42.377,-71.1167,Christina L. Davis; Shinju Fujihira; A. Nicole Kreisberg
Toronto,43.6629,-79.3957,Steven Denney; Phillip Lipscy
Texas A&M,30.6189,-96.3365,Kostanca Dhima
New Mexico,35.0844,-106.6196,Melanie Dominguez
Uppsala,59.8586,17.6389,Kristine Eck; Hanne Fjelde; Sophia Hatz
Northeastern,42.3398,-71.0892,Timothy Fraser
Aarhus,56.167,10.201,Kristian Vrede Skaaning Frederiksen
Columbia,40.8075,-73.9626,Timothy M. Frye; Daniel M. Smith; Andreas Wimmer
Stony Brook,40.912,-73.123,Zheng Fu
UCLA,34.0689,-118.4452,S. Michael Gaddis
Tokyo,35.7126,139.761,Etienne Gagnon; Rieko Kage
Mannheim,49.4881,8.466,Thomas Gschwend
FSU,30.4419,-84.2985,Hans J.G. Hassell
UVA,38.0336,-78.508,John B. Holbein; Mila Versteeg
Penn,39.9522,-75.1932,Yue Hou
"UC, Berkeley",37.8719,-122.2585,D. Alex Hughes; Natarajan Krishnaswami; Maya Lu; Guillermo Monge; Cecilia Hyunjung Mo; Diana Rodenberger
Bergen,60.3894,5.3221,Raimondas Ibenskas; Paulina Sałek-Lipcean
Yale,41.3163,-72.9223,Trevor Incerti; Colin Morsehead; Frances Rosenbluth; Hikaru Yamagishi
"UC, Riverside",33.9737,-117.3281,Indridi Indridason; Michelangelo Landgrave; Sean Long
"UC, Los Angeles",34.0689,-118.4452,Nanum Jeon; Natasha Quadin
University of Gothenburg,57.698,11.9746,Kristen Kao
Michigan State,42.7018,-84.4822,Andrew Kerner
KDI School of Public Policy and Management,36.6018,127.284,Jae Yeon Kim
Kansas State,39.191,-96.579,Ghashia Kiyani
Göttingen,51.5413,9.9158,Matthias Koenig
Pittsburgh,40.444,-79.958,Dmitrii Kofanov
Sungkyunkwan,37.588,126.993,Jeong-Woo Koo
Pomona,34.0967,-117.7198,Tom Le
New York,40.7128,-74.006,Fridolin Linder
Syracuse,43.0389,-76.135,Shao Li
George Washington,38.8997,-77.0486,Yonatan Lupu
Essex,51.876,0.945,Akitaka Matsuo
Brown,41.8268,-71.4029,Rose McDermott
Princeton,40.3431,-74.6514,Helen V. Milner; Sayumi Miyano; Ayumi Teraoka; Duy Trinh
Tohoku,38.2554,140.873,Austin M. Mitchell; Hatsuru Morita
Brigham Young,40.2518,-111.6493,Quin Monson
Kyushu,33.6045,130.4183,Kiho Muroga
Duke,36.0014,-78.9382,Harunobu Saijo; David A. Siegel
Arizona,32.2319,-110.9501,Paul Schuler
Georgetown,38.9076,-77.0723,Elliot Silverberg
Nebraska,40.8202,-96.7005,Kevin Smith
ASU,33.4242,-111.9281,Cindi SturtzSreetharan
Groningen,53.2194,6.5665,Seiki Tanaka
PRIO,59.9127,10.7461,Andreas Forø Tollefsen
Durham,54.7766,-1.575,Neil Visalvanich
Konstanz,47.6929,9.1876,Nils Weidmann
Albany,42.6869,-73.8239,Charmaine N. Willis
Kobe,34.727,135.15,Yuan Zhou
