
University,Location,Latitude,Longitude
Antalya Bilim University,"Antalya, Turkey",37.05241,30.62498
Aoyama Gakuin University,"Tokyo, Japan",35.6641,139.7138
Arapahoe Community College,"Littleton, CO, USA",39.6084,-105.0106
Art Academy of Latvia,"Riga, Latvia",56.9565,24.1181
Belarusian State University,"Minsk, Belarus",53.9058,27.5615
Chiba University,"Chiba, Japan",35.604,140.1035
Colorado Mesa University,"Grand Junction, CO, USA",39.077,-108.5557
Community College of Denver,"Denver, CO, USA",39.7457,-105.0059
Columbia University,"New York, NY, USA",40.8075,-73.9626
Cornell University,"Ithaca, NY, USA",42.4535,-76.473
Dartmouth College,"Hanover, NH, USA",43.7044,-72.2887
Daugavpils University,"Daugavpils, Latvia",55.8689,26.5161
DePaul University,"Chicago, IL, USA",41.923,-87.6554
Denver University,"Denver, CO, USA",39.678,-104.961
ETH Zurich,"Zurich, Switzerland",47.3763,8.5476
Florida State University,"Tallahassee, FL, USA",30.4419,-84.2985
Front Range Community College,"Westminster, CO, USA",39.8757,-105.0844
Harvard University,"Cambridge, MA, USA",42.377,-71.1167
Hiroshima University,"Higashihiroshima, Japan",34.409,132.7139
Hokkaido University,"Sapporo, Japan",43.0769,141.3404
Indiana University of Pennsylvania,"Indiana, PA, USA",40.617,-79.157
Jagiellonian University,"Kraków, Poland",50.0541,19.9362
Johns Hopkins University,"Baltimore, MD, USA",39.3299,-76.6205
Keio University,"Tokyo, Japan",35.6545,139.7409
Kobe University,"Kobe, Japan",34.727,135.133
Koc University,"Istanbul, Turkey",41.2097,29.018
University of Konstanz,"Konstanz, Germany",47.6935,9.186
Korea Advanced Institute of Science and Technology,"Daejeon, South Korea",36.372,127.36
Korea University,"Seoul, South Korea",37.588,127.0269
Kochi University of Technology,"Kami, Kochi Prefecture, Japan",33.6125,133.6856
Loyola University Chicago,"Chicago, IL, USA",41.9991,-87.6555
Massachusetts Institute of Technology,"Cambridge, MA, USA",42.3601,-71.0942
McGill University,"Montreal, QC, Canada",45.5048,-73.5772
Meiji Gakuin University,"Tokyo, Japan",35.6371,139.728
Metropolitan State University of Denver,"Denver, CO, USA",39.741,-105.007
Michigan State University,"East Lansing, MI, USA",42.7018,-84.4822
Mimar Sinan Fine Arts University,"Istanbul, Turkey",41.039,28.984
Minsk State Linguistic University,"Minsk, Belarus",53.919,27.587
Monash University,"Melbourne, Australia",-37.915,145.1328
National University of Singapore,Singapore,1.2966,103.7765
Naropa University,"Boulder, CO, USA",40.0149,-105.2706
New York University,"New York, NY, USA",40.7295,-73.9965
Notre Dame University,"Notre Dame, IN, USA",41.6995,-86.2386
Northwestern University,"Evanston, IL, USA",42.055,-87.6753
Pennsylvania State University,"University Park, PA, USA",40.7982,-77.8599
Riga Technical University,"Riga, Latvia",56.949,24.1059
Riga Stradins University,"Riga, Latvia",56.9514,24.1049
Regis University,"Denver, CO, USA",39.7928,-105.0329
Ryerson University (Toronto Metropolitan University),"Toronto, ON, Canada",43.6577,-79.3788
Sciences Po,"Paris, France",48.8555,2.3302
Stanford University,"Stanford, CA, USA",37.4275,-122.1697
Sungkyunkwan University,"Seoul, South Korea",37.5897,126.9933
Sungshin Women’s University,"Seoul, South Korea",37.6067,127.0433
Syracuse University,"Syracuse, NY, USA",43.0373,-76.134
Tbilisi State University,"Tbilisi, Georgia",41.7167,44.7552
Tohoku University,"Sendai, Japan",38.258,140.861
Trinity College Dublin,"Dublin, Ireland",53.3438,-6.2546
United States Air Force Academy,"Colorado Springs, CO, USA",38.9945,-104.8426
University of Amsterdam,"Amsterdam, Netherlands",52.368,4.9036
University of Belgrade,"Belgrade, Serbia",44.8152,20.4544
University College Dublin,"Dublin, Ireland",53.3056,-6.2202
"University of California, Berkeley","Berkeley, CA, USA",37.8719,-122.2585
"University of California, Los Angeles","Los Angeles, CA, USA",34.0689,-118.4452
"University of California, Merced","Merced, CA, USA",37.364,-120.4245
"University of California, Riverside","Riverside, CA, USA",33.975,-117.3313
University of Chicago,"Chicago, IL, USA",41.7897,-87.6
"University of Colorado, Boulder","Boulder, CO, USA",40.0076,-105.2659
"University of Colorado, Colorado Springs","Colorado Springs, CO, USA",38.893,-104.8007
"University of Colorado, Denver","Denver, CO, USA",39.745,-105.003
University of Dayton,"Dayton, OH, USA",39.7406,-84.1799
University of Florence,"Florence, Italy",43.7696,11.2558
University of Georgia,"Athens, GA, USA",33.9495,-83.3773
University of Iowa,"Iowa City, IA, USA",41.6639,-91.5303
"University of Illinois, Urbana-Champaign","Champaign, IL, USA",40.102,-88.2272
University of Latvia,"Riga, Latvia",56.9505,24.1123
University of Michigan,"Ann Arbor, MI, USA",42.278,-83.7382
University of Mississippi,"Oxford, MS, USA",34.3665,-89.5389
University of New Mexico,"Albuquerque, NM, USA",35.0844,-106.619
University of Oslo,"Oslo, Norway",59.9406,10.7215
University of Pittsburgh,"Pittsburgh, PA, USA",40.4447,-79.9533
University of San Francisco,"San Francisco, CA, USA",37.7764,-122.451
University of South Carolina,"Columbia, SC, USA",33.998,-81.0375
University of Tartu,"Tartu, Estonia",58.3776,26.729
University of Tartu Narva College,"Narva, Estonia",59.378,28.199
University of Tokyo,"Tokyo, Japan",35.7126,139.761
University of Toronto,"Toronto, ON, Canada",43.6629,-79.3957
